Timestamp,Source,Address,TotalSent,TotalRecv,NumHops,AvgLatency,Path
1743785270,15,7,1,1,1,0,07-15
0,15,8,1,0,0,0,
1743785271,7,8,0,2,1,7,08-07
0,7,15,1,1,1,0,15-07
1743785271,8,7,2,0,0,0,
0,8,15,0,1,2,15,15-07-08
1743785291,15,8,1,0,0,0,
1743785291,8,7,1,1,1,0,07-08
0,8,15,0,1,2,7,15-07-08
1743785293,7,8,1,1,1,5,08-07
1743785311,15,7,1,1,1,0,07-15
0,15,8,0,1,2,6,08-07-15
1743785312,8,15,1,0,0,0,
1743785314,7,15,1,2,1,1,08-07
1743785331,15,7,2,0,0,0,
0,15,8,0,1,2,5,08-07-15
1743785332,8,7,1,0,0,0,
0,8,15,1,0,0,0,
1743785352,15,7,1,1,1,1,07-15
0,15,8,0,1,2,6,08-07-15
1743785352,7,8,0,1,1,0,08-07
0,7,15,1,2,1,0,15-07
1743785352,8,15,1,0,0,0,
1743785372,15,8,1,1,2,0,08-07-15
1743785373,7,8,1,0,0,0,
1743785372,8,7,0,1,1,0,07-08
0,8,15,1,1,2,0,15-07-08
1743785392,15,7,1,0,0,0,
0,15,8,0,1,2,11,08-07-15
1743785393,8,15,1,0,0,0,
1743785395,7,15,0,1,1,0,15-07
1743785413,15,7,1,1,1,0,07-15
0,15,8,1,1,2,10,08-07-15
1743785423,7,15,1,1,1,0,15-07
1743785413,8,15,2,1,2,11,15-07-08
1743785433,15,8,1,1,2,10,08-07-15
1743785433,8,7,0,1,1,0,07-08
0,8,15,1,0,0,0,
