Timestamp,Source,Address,TotalSent,TotalRecv,AvgLatency,
1742575578,7,14,5,2,5,
0,7,15,4,4,6,
0,7,27,3,4,3,
1742575611,14,7,5,6,7,
0,14,15,4,6,7,
0,14,27,5,6,7,
1742575578,15,7,5,3,4,
0,15,14,3,2,5,
0,15,27,3,4,3,
1742575618,15,7,0,2,12,
0,15,14,2,1,17,
0,15,27,1,2,16,
1742575674,14,7,2,4,10,
0,14,15,2,7,7,
0,14,27,3,4,10,
1742575578,27,7,5,2,5,
0,27,14,4,2,5,
0,27,15,4,3,5,
1742575598,7,14,2,0,0,
0,7,15,2,1,5,
0,7,27,2,0,0,
1742575708,14,7,1,4,11,
0,14,15,1,2,6,
0,14,27,1,3,13,
1742575598,15,14,2,0,0,
0,15,27,4,0,0,
1742575618,7,14,1,2,4,
0,7,15,1,1,8,
0,7,27,0,2,11,
1742575733,14,7,0,2,14,
0,14,15,0,2,13,
0,14,27,0,3,10,
1742575598,27,14,2,0,0,
0,27,15,1,1,4,
1742575765,14,7,2,1,32,
0,14,15,2,1,9,
0,14,27,1,1,34,
1742575638,15,7,3,0,0,
0,15,14,2,0,0,
0,15,27,1,1,6,
1742575618,27,7,2,1,33,
0,27,14,1,1,25,
0,27,15,2,1,15,
1742575658,15,7,1,4,20,
0,15,14,2,1,10,
0,15,27,1,0,0,
1742575658,27,7,2,1,14,
0,27,14,1,2,11,
0,27,15,2,0,0,
1742575818,14,7,2,2,26,
0,14,15,1,6,15,
0,14,27,1,8,20,
