Timestamp,Source,Address,TotalSent,TotalRecv,NumHops,AvgLatency,TotalParentChanges,TotalBeaconsSent,TotalBeaconsRecv,Path
1743783664,27,14,1,0,0,0,2,4,3,
1743783670,14,20,0,1,2,10,0,3,5,20-27-14
0,14,27,0,1,2,11,0,0,4,27-20-14
1743783664,20,14,1,0,0,0,3,5,3,
1743783684,27,14,2,0,0,0,2,0,0,
1743783698,14,20,0,1,1,29,0,1,0,20-14
0,14,27,0,2,1,12,0,0,1,27-14
1743783684,20,14,2,0,0,0,3,0,0,
1743783704,27,14,1,0,0,0,2,1,1,
1743783704,20,14,1,0,0,0,3,1,1,
1743783728,14,20,0,2,1,24,0,1,1,20-14
0,14,27,0,1,1,14,0,0,1,27-14
1743783724,27,14,1,0,0,0,2,1,1,
1743783724,20,14,1,0,0,0,3,0,1,
1743783750,14,20,0,1,1,33,0,0,1,20-14
0,14,27,0,1,1,22,0,0,0,27-14
1743783744,27,14,2,0,0,0,2,0,0,
1743783772,14,20,0,2,1,30,0,1,0,20-14
0,14,27,0,2,1,25,0,0,1,27-14
1743783744,20,14,2,0,0,0,3,1,0,
1743783764,27,14,1,0,0,0,2,1,1,
1743783764,20,14,1,0,0,0,3,0,1,
1743783798,14,20,0,1,1,35,0,1,1,20-14
0,14,27,0,1,1,30,0,0,1,27-14
